,Kode MK,MK,CPL,Kode BK,BK,Kode CPMK,CPMK,Kode SubCPMK,SubCPMK,MetodePembelajaran,Bentuk Pembelajaran,Bentuk Penilaian,Kriteria Penilaian,Materi Pembelajaran,SubCPMK Lama,Materi Pembelajaran Lama,Deskripsi
,,,"(CPL06)
Mampu merancang, mengimplementasikan,  menguji, melakukan deployment, dan memelihara, serta menjamin mutu perangkat lunak yang menjawab permasalahan dan memenuhi kebutuhan stakeholder
",BK26,Systems Analysis & Design,CPMK607,Mampu menganalisis kebutuhan organisasi untuk merancang serta mengimplementasikan solusi sistem informasi terintegrasi yang kompleks.,CPMK607-00101,Mampu menganalisis kebutuhan organisasi sebagai dasar perancangan sistem informasi terintegrasi.,Diskusi Kelompok (Small Group Discussion) ,"Mahasiswa bekerja dalam kelompok kecil untuk mendiskusikan topik atau studi kasus, bertukar ide, dan menyusun solusi secara kolaboratif. Kegiatan ini melatih kerja sama tim, komunikasi efektif, berpikir kritis, serta tanggung jawab akademik melalui presentasi singkat hasil diskusi.","Unjuk Kerja (Presentasi), Tes Tulis (UAS)","Kejelasan dan sistematika penyampaian ide (lisan): 30%

Kualitas media dan materi tertulis (struktur, bahasa, kerapian): 25%

Ketepatan dan ketegasan dalam menjawab pertanyaan: 25%

Tanggung jawab dan sikap profesional selama presentasi: 20%

Jenis tes: Unjuk kerja (presentasi dan laporan tertulis)",Simulation of software project development,,,
"Agung Nugroho Pramudhita, S.T., M.T.
",MK037,Kewirausahaan Berbasis Teknologi,"(CPL01) Menginternalisasi ketakwaan kepada Tuhan Yang Maha Esa, menaati hukum, disiplin, dan menunjukkan profesionalisme melalui etika profesi, pembelajaran sepanjang hayat, serta respons terhadap isu sosial dan teknologi.
",BK01,"Social Issues and Professional Practice
",CPMK101,"Mampu menunjukkan profesionalisme melalui penerapan etika profesi TI, keselamatan kerja, kewirausahaan bertanggung jawab, rekayasa perangkat lunak ramah lingkungan, dan disiplin dalam penelitian maupun penerapan aplikasi teknologi",,,Diskusi Kelompok (Small Group Discussion) ,,Unjuk Kerja (Presentasi),,,,,
,,,"(CPL01) Menginternalisasi ketakwaan kepada Tuhan Yang Maha Esa, menaati hukum, disiplin, dan menunjukkan profesionalisme melalui etika profesi, pembelajaran sepanjang hayat, serta respons terhadap isu sosial dan teknologi.
",BK30,Pengembangan Diri,CPMK102,"Mampu menginternalisasi nilai ketakwaan kepada Tuhan YME, Pancasila, kewarganegaraan, dan menunjukkan pembelajaran sepanjang hayat melalui disiplin diri, tanggung jawab sosial, dan adaptasi karir profesional",,,Self-Directed Learning (SDL),,Partisipasi,"kemampuan mahasiswa merumuskan ide bisnis digital yang relevan, menyusun Business Model Canvas yang konsisten, membuat business plan yang terstruktur dan berbasis data, serta melakukan analisis kelayakan bisnis secara tepat, ditambah penilaian presentasi dan proses kerja tim untuk memastikan mahasiswa mampu merancang dan mempertanggungjawabkan kelayakan bisnis digital yang mereka kembangkan.","Pengantar bisnis digital
Identifikasi peluang dan ide bisnis digital
Analisis kelayakan ide bisnis digital
Pemasaran dan penjualan dalam bisnis digital
Manajemen keuangan dalam bisnis digital
Model bisnis dalam bisnis digital
Panduan pembuatan rencana bisnis digital
Validasi model bisnis dalam bisnis digital
Inovasi model bisnis dalam bisnis digital
Aspek legal dan properti intelektual dalam bisnis digital
Strategi pertumbuhan bisnis berbasis teknologi",,,
,,,,,,CPMK311,"Mahasiswa mampu mengidentifikasi peluang bisnis berbasis teknologi dan menyusun business model canvas, serta bekerja dalam tim untuk merancang dan mengembangkan konsep startup dengan menerapkan mindset entrepreneurial.",,,Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),,"Unjuk Kerja (Presentasi), Observasi (Praktik/ Tugas)",,,,,
,,,,,,CPMK312,Mahasiswa mampu mempresentasikan business pitch secara persuasif serta berkomunikasi dan bernegosiasi secara efektif dengan berbagai pihak dalam konteks bisnis teknologi.,,,Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),,Unjuk Kerja (Presentasi),,,,,
"Ulla Delfana Rosiani, S.T., M.T. Dr
",MK038,Metodologi Penelitian,"(CPL04)
Menyusun deskripsi saintifik hasil kajian implikasi pengembangan atau implementasi ilmu pengetahuan teknologi dalam bentuk skripsi atau laporan tugas akhir atau artikel
ilmiah.",BK31,Metodologi Penelitian,CPMK403,"Mahasiswa mampu merumuskan masalah penelitian, menentukan metode yang tepat, serta menyusun proposal dan deskripsi saintifik penelitian sebagai dasar penulisan skripsi atau artikel ilmiah.",SCPMK403-03801,Mahasiswa mampu menggali permasalahan penelitian secara kritis dan inovatif serta menyusun proposal penelitian dengan memperhatikan kesahihan dan orisinalitas.,"Ceramah/Kuliah, Diskusi Kelompok, Metode Case","Ceramah, self-learning (V-Class), diskusi kelompok","Kuis, Tugas Proposal, Tes Tulis (UTS)","Ketepatan identifikasi masalah penelitian, kesahihan dan orisinalitas proposal yang disusun","Konsep dasar penelitian, tahapan penelitian computing, studi pustaka dan artikel ilmiah, identifikasi masalah, metode/teknik/instrumen penelitian","7.5.3.1 SUBCPMK1
Mahasiswa mampu menggali permasalahan di masyarakat dan
lingkungan, menggali kebutuhan, berfikir kritis dan inovatif dalam mencari solusi dan ide
skripsi dengan memperhatikan kesahihan dan orisinalitas
7.5.3.2 SUBCPMK2
Mahasiswa mampu menuliskan ide dalam proposal skripsi; menyampaikan dan mempresentasikan secara lisan usulan skripsi; bekerjasama dan bertanggungjawab merealisasikan ide skripsi dan menghasilkan prototype, prosedur baku, desain, atau produk TIK lainnya; membuat dokumentasi, laporan dalam bentuk kertas kerja, mendemonstrasikan dan mempresentasikan proses dan hasil pekerjaan secara mandiri.","1 Konsep Dasar Penelitian
2 Tahapan Penelitian Computing
3 Studi Pustaka dan Artikel Ilmiah 1
4 Studi Pustaka dan Artikel Ilmiah 2
5 Kuis 1
6 Identifikasi Masalah
7 Metode, Teknik, dan Instrumen Penelitian
8 CM dan UTS
9 Pemodelan Sistem
10 Analisis Kuantitatif dan Kualitatif
11 Kode Etik dan Etika Penulisan
12 Kuis 2
13 Teknik Penulisan Proposal BAB 2
14 Teknik Penulisan Proposal BAB 3
15 Teknik Presentasi
16 CM Penilaian Presentasi
17 UAS

METODE PEMBELAJARAN:
1. Ceramah/Kuliah 
2. Self-Learning (V-Class)
3. Diskusi Kelompok
4. Metode Case","Memahami dan mampu melakukan penelitian ilmiah dengan metodologi yang lengkap, runut, dan tepat."
,,,"(CPL10)
Memiliki kompetensi untuk menganalisis persoalan kompleks untuk mengidentifikasi solusi bidang informatika/ilmu komputer dengan mempertimbangkan wawasan ilmu multidisiplin",,,CPMK1009,Mampu mengkaji persoalan kompleks dan mengidentifikasi tahapan penyelesaian yang tepat berdasarkan kaidah ilmiah untuk menyelesaikan permasalahan pada bidang informatika.,SCPMK1009-03802,Mahasiswa mampu menuliskan proposal penelitian dan mempresentasikan usulan penelitian secara lisan sesuai kaidah ilmiah.,Diskusi Kelompok (Small Group Discussion) ,"Diskusi kelompok, presentasi proposal","Kuis, Unjuk Kerja (Presentasi), Tes Tulis (UAS)","Kejelasan dan kaidah ilmiah penulisan proposal, ketepatan presentasi usulan penelitian","Kode etik dan etika penulisan, teknik penulisan proposal (bab 2 & 3), teknik presentasi",,,
"Agung Nugroho Pramudhita, S.T., M.T. ",MK039,Pemrograman Mobile,"(CPL10)
Memiliki kompetensi untuk menganalisis persoalan kompleks untuk mengidentifikasi solusi bidang informatika/ilmu komputer dengan mempertimbangkan wawasan ilmu multidisiplin",BK19,Platform-Based Development,CPMK06,"Mampu mengevaluasi dan mengembangkan aplikasi berbasis web dan mobile dengan mempertimbangkan aspek arsitektur, performa, integrasi layanan, dan pengalaman pengguna.",,,Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),,"Observasi (Praktik/ Tugas), Unjuk Kerja (Presentasi), Tes Lisan (Tugas Kelompok)","Kebenaran implementasi program (berjalan sesuai spesifikasi), penggunaan algoritma sesuai dengan kasus dan kemampuan mengkomunikasikan pekerjaan yang telah dikerjakan","1. Pengantar Pemrograman Mobile
2. Pemrograman Dasar Dart
3. Dasar Framework Flutter
4. Dasar Widget (Stateless dan Stateful)
5. Layouting, Positioning, dan Styling
6. Camera API
7. State Management dan Streams
8. RESTful API
","7.3.3.1 Sub-CPMK1
Mahasiswa mampu menjelaskan konsep pemrograman pada perangkat mobile
7.3.3.2 Sub-CPMK2
Mahasiswa mampu merancang dan mengembangkan produk TIK untuk memberikan solusi yang tepat melalui aplikasi berbasis mobile
7.3.3.3 Sub-CPMK3
Mahasiswa mampu menerapkan pemikiran logis dan kritis dalam mengembangkan aplikasi berbasis mobile sesuai dengan berbagai macam studi kasus yang diberikan
7.3.3.4 Sub-CPMK4
Mahasiswa mampu menggunakan perangkat bantu pengembangan aplikasi berbasis mobile
","1. Pengantar Pemrograman Mobile
2. Pemrograman Dasar Dart
3. Dasar Framework Flutter
4. Dasar Widget (Stateless dan Stateful)
5. Layouting, Positioning, dan Styling
6. Camera API
7. State Management dan Streams
8. RESTful API
","Setelah mengikuti kuliah ini diharapkan mahasiswa dapat membangun aplikasi berbasis mobile dengan framework Flutter, mengelola project dengan version control (Git), memanfaatkan kamera, dan menggunakan komunikasi RESTful API."
,,,"(CPL06)
Mampu merancang, mengimplementasikan,  menguji, melakukan deployment, dan memelihara, serta menjamin mutu perangkat lunak yang menjawab permasalahan dan memenuhi kebutuhan stakeholder
",BK19,Platform-based Development,CPMK603,"Mampu mengimplementasikan dan melakukan deployment aplikasi perangkat lunak pada platform web, mobile, atau framework secara fungsional.",,,Pembelajaran Berbasis Proyek (Project Based Learning/PjBL),,"Tes Lisan (Tugas Kelompok), Unjuk Kerja (Presentasi), Observasi (Praktik/ Tugas)",,,,,
"Vipkas Al Hadid Firdaus, ST,. MT
",MK040,Pembelajaran Mesin,"CPL07 Mampu mengembangkan sistem komputasi cerdas, analisis data dengan menerapkan algoritma dan teknik kecerdasan artifisial secara tepat guna",BK18,Intelligent Systems,CPMK706,"Mampu merancang, mengimplementasikan, dan mengevaluasi sistem cerdas dengan menerapkan algoritma kecerdasan artifisial dan pembelajaran mesin untuk pemodelan, analisis data, dan pengambilan keputusan",,,,,,,,"8.1.4.1 SUBCPMK1 Mahasiswa mampu memahami konsep dasar pembelajaran mesin dan konsep data
8.1.4.2 SUBCPMK2 Mahasiswa mampu membuat model pembelajaran mesin yang tepat sesuai dengan permasalahan
8.1.4.3 SUBCPMK3 Mahasiswa mampu melakukan evaluasi kualitas model pembelajaran mesin sesuai dengan jenis model dan permasalahan
8.1.4.4 SUBCPMK4 Mahasiswa mampu menyajikan (deploying) model pembelajaran mesin untuk menyelesaikan permasalahan","1. Konsep Dasar Pembelajaran Mesin
2. Pemahaman Data (Data Understanding)
3. Pra Pengolahan Data
4. Ekstraksi Fitur dan Seleksi Fitur
5. Model Klasterisasi
6. Model Regresi
7. Model Klasifikasi
8. Model Neural Network dan Convolutional Neural Network
9. Deployment Model
",
,,,"(CPL10)
Memiliki kompetensi untuk menganalisis persoalan kompleks untuk mengidentifikasi solusi bidang informatika/ilmu komputer dengan mempertimbangkan wawasan ilmu multidisiplin",,,CPMK1005,"Mampu mengembangkan dan mengevaluasi solusi sistem cerdas berdasarkan aspek kinerja, keandalan, interpretabilitas, dan kesesuaian solusi terhadap kebutuhan domain aplikasi.",,,,,,,,,,
"Rakhmat Arianto, S.ST., M.Kom., Dr.
",MK041,Business Intelligence,"CPL07 Mampu mengembangkan sistem komputasi cerdas, analisis data dengan menerapkan algoritma dan teknik kecerdasan artifisial secara tepat guna",BK17,Graphics and Visualization,CPMK705,Mampu merancang dan mengimplementasikan teknik pengolahan citra dan visualisasi data secara efektif untuk mengeksplorasi dan merepresentasikan pola informasi,,,,,,,,,"1.        Pengantar data warehouse
2.        Dimensional dan multidimensional data
3.        Functional dan non-functional requirement
4.        Data modelling/ data warehouse scheme
5.        Physical database design
6.        Data extraction
7.        Data transform and load
8.        UTS
9.        Data quality
10.        Metadata
11.        Konsep dan Jenis Visualisasi
12.        Pengenalan Tools Visualisasi
13.        Perancangan Dashboard

","Setelah mengikuti kuliah ini diharapkan mahasiswa konsep dan teknik perancangan suatu media penyimpanan data dalam kuantitas besar yang disebut sebagai data warehouse, berikut bagaimana cara untuk mengisinya dengan data yang berasal dari berbagai sumber data dan memvisualisasikan data sebagai solusi analisis pemecahan masalah."
,,,"(CPL10)
Memiliki kompetensi untuk menganalisis persoalan kompleks untuk mengidentifikasi solusi bidang informatika/ilmu komputer dengan mempertimbangkan wawasan ilmu multidisiplin",,,CPMK1004,"Mampu menganalisis permasalahan kompleks berbasis data dan visual untuk merancang serta menerapkan teknik visualisasi dan representasi grafis yang efektif dalam mendukung pemahaman, analisis, dan pengambilan keputusan.",,,,,,,,,,
"Irsyad Arif Mashudi, S.Kom M.Kom
",MK042,Penjaminan Mutu Perangkat Lunak,CPL05,BK23,Information Assurance and Security,CPMK508,"Mampu menerapkan prinsip information assurance dan teknik keamanan perangkat lunak untuk memastikan keandalan, integritas, dan ketahanan sistem terhadap risiko.",,,,,,,,"7.4.5.1 SUBCPMK1
Mahasiswa mengenal konsep dasar algoritma serta mampu menganalisis permasalahan sederhana ke dalam bentuk algoritma
7.4.5.2 SUBCPMK2
Mahasiswa mampu memahami dan menerapkan konsep-konsep dasar pemrograman seperti tipe data, variabel, dan struktur dasar dalam pemrograman.
7.4.5.3 SUBCPMK3
Mahasiswa mampu memahami struktur kontrol seperti pemilihan (kondisi), dan perulangan untuk menyelesaikan permasalahan sederhana.","1. Pengantar Penjaminan Perangkat Lunak dan ISO
2. Pendekatan, Tipe dan Level Pengujian
3. Test Planning, Test Scenario dan Test Case
4. Test Monitoring, Test Control dan Test Completion
5. Functional Testing
6. Non Functional Testing","Mata kuliah Penjaminan Mutu Perangkat Lunak memberikan pengetahuan dan pemahaman tentang konsep, prinsip, dan praktik dalam memastikan kualitas perangkat lunak melalui berbagai metode pengujian dan standar industri. Mahasiswa akan mempelajari strategi pengujian, dokumentasi pengujian, pengujian fungsional dan non-fungsional, serta implementasi praktis dalam lingkungan pengembangan perangkat lunak."
,,,"(CPL06)
Mampu merancang, mengimplementasikan,  menguji, melakukan deployment, dan memelihara, serta menjamin mutu perangkat lunak yang menjawab permasalahan dan memenuhi kebutuhan stakeholder",BK24,Software Development Fundamentals,CPMK605,"Mampu mengimplementasikan prinsip dasar pengembangan dan memelihara kualitas kode program agar tetap bersih, efisien, dan berkelanjutan.",,,,,,,,,,
,,,"(CPL06)
Mampu merancang, mengimplementasikan,  menguji, melakukan deployment, dan memelihara, serta menjamin mutu perangkat lunak yang menjawab permasalahan dan memenuhi kebutuhan stakeholder",BK28,"Software Quality, Verification and Validation",CPMK608,Mampu merencanakan strategi pengujian serta menjamin mutu perangkat lunak melalui teknik verifikasi dan validasi yang terukur.,,,,,,,,,,
,,,"(CPL06)
Mampu merancang, mengimplementasikan,  menguji, melakukan deployment, dan memelihara, serta menjamin mutu perangkat lunak yang menjawab permasalahan dan memenuhi kebutuhan stakeholder",BK25,Software Process,CPMK606,Mampu mengelola proses deployment dan menyusun rencana memelihara perangkat lunak sesuai dengan metodologi siklus hidup pengembangan (SDLC).,,,,,,,,,,
,,,"(CPL08)
Mampu mengelola proyek teknologi informasi secara profesional dengan mengoptimalkan sumber daya yang tersedia","BK10
BK22
BK24
BK25
BK28
BK29","Software Design
Human Computer Interaction
Software Development Fundamentals
Software Process
Software Quality, Verification & Design
Software Modeling and Analysis",CPMK802,"Mampu mengelola proses rekayasa perangkat lunak dan desain antarmuka (UI/UX) dalam siklus hidup proyek, termasuk penerapan metodologi pengembangan dan prinsip penjaminan mutu (SQA) untuk menghasilkan produk yang berkualitas dan berpusat pada pengguna.",,,,,,,,,,
"Mamluatul Hani'ah, S.Kom., M.Kom.
",MK043,Pengolahan Citra Dan Visi Komputer,"CPL07 Mampu mengembangkan sistem komputasi cerdas, analisis data dengan menerapkan algoritma dan teknik kecerdasan artifisial secara tepat guna",BK17,"Graphics and Visualization
",CPMK705,Mampu merancang dan mengimplementasikan teknik pengolahan citra dan visualisasi data secara efektif untuk mengeksplorasi dan merepresentasikan pola informasi,SCPMK705-04301,Mahasiswa mampu mengidentifikasi karakteristik citra digital serta memanfaatkan perangkat lunak dan pustaka pemrograman untuk melakukan akuisisi dan visualisasi citra,Contextual Instruction (CI),"Ceramah,
Demonstrasi tools & notebook,
Praktikum terarah,
Diskusi interpretasi visual","Quiz, Tes Tulis (UTS), Observasi (Praktik/ Tugas)","ketepatan menjelaskan konsep format citra, warna, resolusi; kesesuaian interpretasi dan penjelasan hasil visual citra","Pengantar Citra Digital dan Visi Komputer
- Konsep dasar citra digital dan visi komputer
- Pengenalan tools pendukung (GitHub, Google - Colaboratory, OpenCV, NumPy)
- Membaca, menampilkan, dan visualisasi citra

Representasi dan Karakteristik Citra Digital
- Format citra dan model warna
- Resolusi citra dan video
- Aplikasi pengolahan citra digital","8.2.2.1 SUBCPMK1 Mahasiswa mampu mengidentifikasi karakteristik citra digital serta memanfaatkan perangkat lunak dan pustaka pemrograman untuk melakukan akuisisi dan visualisasi citra

8.2.2.2 SUBCPMK2 Mahasiswa mampu mengolah citra digital melalui penerapan berbagai teknik transformasi dasar untuk perbaikan kualitas dan modifikasi citra 

8.2.2.3 SUBCPMK3 Mahasiswa mampu menerapkan metode pemrosesan citra lanjutan untuk melakukan analisis, segmentasi, dan ekstraksi informasi dari citra digital

8.2.2.4 SUBCPMK4 Mahasiswa mampu merancang dan mengimplementasikan metode deteksi objek sesuai dengan kebutuhan permasalahan yang dihadapi.","1. Pengantar Citra Digital dan Visi Komputer
- Konsep dasar citra digital dan visi komputer
- Pengenalan tools pendukung (GitHub, Google - Colaboratory, OpenCV, NumPy)
- Membaca, menampilkan, dan visualisasi citra

2.Representasi dan Karakteristik Citra Digital
- Format citra dan model warna
- Resolusi citra dan video
- Aplikasi pengolahan citra digital

3. Operasi Dasar Pengolahan Citra
- Transformasi titik: brightness, contrast, inverse, logarithmic, grayscale
- Operasi aritmatika dan logika pada citra
- Gamma correction
- Image depth dan PSNR
- Denoising dan masking

4.  Analisis Intensitas dan Histogram Citra
- Konsep histogram citra
- Histogram equalization
- Dithering

5. Pemrosesan Spasial dan Ekstraksi Fitur Bentuk
- Filter spasial (low pass, high pass, edge, line, point detection)
- Ekstraksi fitur bentuk (dimensi, centroid, circularity, dsb.)

6. Segmentasi Citra dengan Thresholding
- Global thresholding
- Optimal thresholding (Otsu’s method)
- Local thresholding (moving averages)

7.Operasi Morfologi pada Citra
- Erosi, dilasi, opening, closing
- Transformasi top-hat dan bottom-hat
- Skeleton dan thickening
- Implementasi binary image untuk operasi morfologi

8.Dasar-dasar Deteksi Objek
- Konsep dan prinsip deteksi objek
- Aspek pemindaian pada deteksi objek

9. Tahapan Perancangan Sistem Deteksi Objek
- Perencanaan dan akuisisi data (pengambilan citra)
Preprocessing
- Ekstraksi fitur
- Klasifikasi objek
","Mata kuliah ini membahas prinsip dan teknik dasar dalam pengolahan citra digital serta penerapannya pada berbagai permasalahan komputasi visual. Mahasiswa akan mempelajari konsep, metode, dan algoritma yang digunakan untuk menganalisis, memodifikasi, dan mengekstraksi informasi dari citra. Selain pemahaman teori, mata kuliah ini juga menekankan keterampilan praktis melalui implementasi dengan memanfaatkan bahasa pemrograman, sehingga mahasiswa mampu merancang solusi berbasis citra digital"
